SupplierID,CompanyName,ContactName,ContactTitle,City,Country
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,UK
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,New Orleans,USA
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,Ann Arbor,USA
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,Tokyo,Japan
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Oviedo,Spain
6,Mayumi's,Mayumi Ohno,Marketing Representative,Osaka,Japan
7,"Pavlova, Ltd.",Ian Devling,Marketing Manager,Melbourne,Australia
8,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,Manchester,UK
9,PB Knäckebröd AB,Lars Peterson,Sales Agent,Göteborg,Sweden
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Sao Paulo,Brazil
11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Berlin,Germany
12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Frankfurt,Germany
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Cuxhaven,Germany
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Ravenna,Italy
15,Norske Meierier,Beate Vileid,Marketing Manager,Sandvika,Norway
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,Bend,USA
17,Svensk Sjöföda AB,Michael Björn,Sales Representative,Stockholm,Sweden
18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,Paris,France
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Boston,USA
20,Leka Trading,Chandra Leka,Owner,Singapore,Singapore
21,Lyngbysild,Niels Petersen,Sales Manager,Lyngby,Denmark
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Zaandam,Netherlands
23,Karkki Oy,Anne Heikkonen,Product Manager,Lappeenranta,Finland
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,Sydney,Australia
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,Montréal,Canada
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Salerno,Italy
27,Escargots Nouveaux,Marie Delamare,Sales Manager,Montceau,France
28,Gai pâturage,Eliane Noz,Sales Representative,Annecy,France
29,Forêts d'érables,Chantal Goulet,Accounting Manager,Ste-Hyacinthe,Canada
